full_name,stargazers_count,forks_count,language,html_url
fivethirtyeight/data,17179,11138,Jupyter Notebook,https://github.com/fivethirtyeight/data
GoogleTrends/data,4729,453,JavaScript,https://github.com/GoogleTrends/data
GSA/data,2195,277,HTML,https://github.com/GSA/data
aptnotes/data,1746,286,,https://github.com/aptnotes/data
binlist/data,640,361,,https://github.com/binlist/data
dgadiraju/data,160,599,,https://github.com/dgadiraju/data
PointCloudLibrary/data,352,427,C++,https://github.com/PointCloudLibrary/data
the-pudding/data,1028,251,HTML,https://github.com/the-pudding/data
dataprofessor/data,312,332,,https://github.com/dataprofessor/data
pyvideo/data,473,286,Python,https://github.com/pyvideo/data
pytorch/data,1224,169,Python,https://github.com/pytorch/data
mdn/data,752,200,JavaScript,https://github.com/mdn/data
apachecn/data,326,228,Python,https://github.com/apachecn/data
curran/data,516,175,HTML,https://github.com/curran/data
jtleek/datasharing,6640,243482,,https://github.com/jtleek/datasharing
datasciencemasters/data,510,190,,https://github.com/datasciencemasters/data
nationalparkservice/data,1240,86,JavaScript,https://github.com/nationalparkservice/data
mavoweb/data,3,736,,https://github.com/mavoweb/data
opencovid19-fr/data,282,99,JavaScript,https://github.com/opencovid19-fr/data
mswjs/data,902,57,TypeScript,https://github.com/mswjs/data
